week,acquisition,buzz event,media event,holidays,promotions,lag_traditional advertising,lag_Twitter_valence,lag_Twitter_volume,lag_FB_impressions
72,2177,0,0,0,666666667,217651,484096699,2659,55390
73,2129,0,0,0,666666667,310279,484186701,2491,8530
74,2534,0,0,0,5,310853,517456611,2345,107298
75,2201,0,0,1,5,290123,366921335,1752,143439
76,1114,0,0,1,5,30495,437214919,2012,2373
77,1384,0,0,0,5,54533,365689232,2809,6102
78,1268,0,1,0,5,78079,446514413,2971,156105
79,1551,0,0,0,5,137620,472753296,2865,7466
80,1434,0,1,0,5,140934,322324783,2332,21784
81,1260,0,0,0,5,164176,770643884,2497,234827
82,1174,0,0,0,333333333,89249,528279225,2529,21302
83,1498,0,0,0,333333333,106911,633141084,2472,189157
84,1768,0,0,0,333333333,476231,64110348,2602,89960
85,1596,0,0,0,5,510552,534704672,2262,54701
86,1625,0,0,0,0,1208288,402579535,2316,64676
87,1562,0,1,0,0,347359,737426468,2365,198727
88,1543,0,0,0,0,764740,468112794,2452,83996
89,1411,0,1,0,0,593013,523543635,2296,33970
90,1352,0,0,0,0,262171,593470542,3430,34152
91,1483,0,0,0,0,359304,867001042,2652,27554
92,1876,0,0,0,0,430514,770011522,2266,54556
93,1719,1,0,1,0,148880,561424542,2463,403569
94,1533,0,0,1,0,43071,170001605,2074,2262655
95,1582,0,0,0,0,71739,430642112,1964,38887
96,1566,0,0,0,0,540952,43688416,2330,52511
97,1659,0,0,0,0,474859,430874636,1765,55308
98,1734,0,0,0,0,80738,801571983,1683,98831
99,1605,0,1,0,0,113165,288824079,2178,16633
100,1685,0,0,0,0,91793,366638364,1918,50575
101,1939,0,0,0,5,91415,372790157,1920,25075
102,1887,0,0,1,0,97947,667659344,2029,29973
103,1702,0,0,1,0,114053,487875465,1993,12720
104,1450,0,1,1,0,95538,58178943,2358,302486
105,1435,0,0,1,0,96407,463428346,2184,71403
106,1666,0,1,1,0,49082,305365243,1803,31986
107,1551,0,0,1,0,49590,722842083,2484,11871
108,1621,0,0,1,0,21430,287480686,2305,25963
109,1695,0,1,1,0,59727,314744683,1908,34144
110,1664,0,1,1,0,74057,565141238,2147,493327
111,1244,0,0,0,0,65508,358915677,2583,68275
112,1177,0,0,0,0,616889,468442086,1996,16525
113,1127,0,0,0,0,272369,649566865,2063,45164
114,1229,0,0,0,0,397358,264892102,2231,150596
115,1151,0,0,0,1,188616,453257356,2145,31801
116,948,0,0,0,0,29141,245839695,1899,24076
117,915,0,0,0,0,123967,641580703,1814,342540
118,1174,0,1,0,0,219096,667897206,2249,191577
119,1226,0,0,0,0,124647,829633452,2276,39855
